"titulo" "P.ISSN" "E.ISSN" "qIF"
"16661" "American Journal of Medical Genetics, Part C: Seminars in Medical Genetics" "15524868" "15524876" 87
"16662" "Cytometry. Part A : the journal of the International Society for Analytical Cytology" "15524922" "15524930" 79
"16663" "Journal of Experimental Zoology Part B: Molecular and Developmental Evolution" "15525007" "15525015" 82
"16664" "Concepts in Magnetic Resonance Part A: Bridging Education and Research" "15466086" "15525023" 13
"16665" "Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering" "15525031" "1552504X" 27
"16666" "Alzheimer's and Dementia" "15525260" "15525279" 99
"16667" "Journal of English Linguistics" "00754242" "15525457" 84
"16668" "Journal of Family Nursing" "10748407" "1552549X" 98
"16669" "The Permanente journal" "15525767" "15525775" 77
"16670" "Semantic Web and Information Systems" "15526283" "15526291" 68
"16671" "Journal of Planning History" "15385132" "15526585" 43
"16672" "Journal of Computer Science" "15493636" "15526607" 24
"16673" "Journal of Management Education" "10525629" "15526658" 56
"16674" "Policy, Politics, and Nursing Practice" "15271544" "15527468" 66
"16675" "Journal of Transformative Education" "15413446" "15527840" 68
"16676" "Journal of Religion, Spirituality and Aging" "15528030" "15528049" 94
"16677" "Trauma, Violence, and Abuse" "15248380" "15528324" 98
"16678" "Hispanic Review" "00182176" "15530639" 80
"16679" "International Journal of Strategic Communication" "1553118X" "15531198" 83
"16680" "Journal of Industrial and Management Optimization" "15475816" "1553166X" 45
"16681" "Landscape Journal" "02772426" "15532704" 18
"16682" "Surgical Innovation" "15533506" "15533514" 64
"16683" "Film History: An International Journal" "08922160" "15533905" 62
"16684" "Journal of Feminist Studies in Religion" "87554178" "15533913" 57
"16685" "Aleph" "15651525" "15533956" 82
"16686" "Annual Review of Pathology: Mechanisms of Disease" "15534006" "15534014" 99
"16687" "Social Influence" "15534510" "15534529" 52
"16688" "Journal of Minimally Invasive Gynecology" "15534650" "15534669" 59
"16689" "Global Economy Journal" "15245861" "15535304" 34
"16690" "Hesperia" "0018098X" "15535622" 98
"16691" "American Journal of Pharmaceutical Education" "00029459" "15536467" 62
"16692" "Sexuality Research and Social Policy" "18689884" "15536610" 91
"16693" "PLoS Computational Biology" "1553734X" "15537358" 96
"16694" "PLoS Pathogens" "15537366" "15537374" 97
"16695" "PLoS Genetics" "15537390" "15537404" 94
"16696" "Journal of LGBT Issues in Counseling" "15538605" "15538338" 73
"16697" "Foundations and Trends in Networking" "1554057X" "15540588" 93
"16698" "Quarterly Journal of Political Science" "15540626" "15540634" 96
"16699" "Foundations and Trends in Information Retrieval" "15540669" "15540677" 97
"16700" "Economic Geology" "03610128" "15540774" 91
"16701" "International Journal of Information Technology and Web Engineering" "15541045" "15541053" 60
"16702" "Behavior Research Methods" "1554351X" "15543528" 97
"16703" "Journal of Jewish Education" "15244113" "1554611X" 81
"16704" "American Journal of Sexuality Education" "15546128" "15546136" 32
"16705" "Clinical Medicine and Research" "15394182" "15546179" 89
"16706" "Elementary School Journal" "00135984" "15548279" 81
"16707" "Journal of Literacy Research" "1086296X" "15548430" 91
"16708" "ACS Chemical Biology" "15548929" "15548937" 85
"16709" "International Journal of Sports Physiology and Performance" "15550265" "15550273" 94
"16710" "Interdisciplinary Journal of Information, Knowledge, and Management" "15551229" "15551237" 51
"16711" "Lean Construction Journal" "" "15551369" 48
"16712" "Fluid Dynamics and Materials Processing" "1555256X" "15552578" 23
"16713" "PoLAR: Political and Legal Anthropology Review" "10816976" "15552934" 64
"16714" "International Journal of Healthcare Information Systems and Informatics" "15553396" "1555340X" 36
"16715" "Contrast Media and Molecular Imaging" "15554309" "15554317" 78
"16716" "Financial Markets and Portfolio Management" "15554961" "1555497X" 13
"16717" "Journal of Workplace Behavioral Health" "15555240" "15555259" 24
"16718" "Laser Physics" "1054660X" "15556611" 58
"16719" "Rocky Mountain Geology" "15557332" "15557340" 30
"16720" "Journal of Microelectronics and Electronic Packaging" "15514897" "15558037" 21
"16721" "RNA Biology" "15476286" "15558584" 75
"16722" "Clinical journal of the American Society of Nephrology : CJASN" "15559041" "1555905X" 96
"16723" "Natural Product Communications" "1934578X" "15559475" 46
"16724" "Journal of Groups in Addiction and Recovery" "1556035X" "15560368" 33
"16725" "Neurocritical Care" "15416933" "15560961" 85
"16726" "Journal of Thoracic Oncology" "15560864" "15561380" 98
"16727" "International Journal of Computer-Supported Collaborative Learning" "15561607" "15561615" 95
"16728" "Metacognition and Learning" "15561623" "15561631" 97
"16729" "Networks and Heterogeneous Media" "15561801" "1556181X" 66
"16730" "Journal of Island and Coastal Archaeology" "15564894" "15561828" 98
"16731" "Petrology" "08695911" "15562085" 36
"16732" "Nanoscale Research Letters" "19317573" "1556276X" 83
"16733" "Forensic Science, Medicine, and Pathology" "1547769X" "15562891" 43
"16734" "Journal of Immigrant and Refugee Studies" "15562948" "15562956" 80
"16735" "Review of Education, Pedagogy, and Cultural Studies" "10714413" "15563022" 89
"16736" "Psychological Perspectives" "00332925" "15563030" 2
"16737" "HSS Journal" "15563316" "15563324" 58
"16738" "Anthropology of Consciousness" "10534202" "15563537" 63
"16739" "Telemedicine Journal and e-Health" "15305627" "15563669" 66
"16740" "Journal of Chiropractic Medicine" "15563707" "15563715" 94
"16741" "International Journal of Food Engineering" "21945764" "15563758" 46
"16742" "Current Colorectal Cancer Reports" "15563790" "15563804" 35
"16743" "Journal of Field Robotics" "15564959" "15564967" 92
"16744" "Victims and Offenders" "15564886" "15564991" 87
"16745" "Journal of Muslim Mental Health" "15564908" "15565009" 52
"16746" "MCB Molecular and Cellular Biomechanics" "15565297" "15565300" 20
"16747" "Clinical and Vaccine Immunology" "15566811" "1556679X" 72
"16748" "Foodborne Pathogens and Disease" "15353141" "15567125" 92
"16749" "Energy Sources, Part A: Recovery, Utilization and Environmental Effects" "15567036" "15567230" 52
"16750" "Nanoscale and Microscale Thermophysical Engineering" "15567265" "15567273" 86
"16751" "International Journal of Sustainable Transportation" "15568318" "15568334" 91
"16752" "Breastfeeding Medicine" "15568253" "15568342" 88
"16753" "International Journal of Doctoral Studies" "15568881" "15568873" 77
"16754" "Psychotherapy and Politics International" "14769263" "15569195" 21
"16755" "Cutaneous and Ocular Toxicology" "15569527" "15569535" 18
"16756" "Toxin Reviews" "15569543" "15569551" 53
"16757" "Progress in Community Health Partnerships: Research, Education, and Action" "15570541" "1557055X" 54
"16758" "Journal of Neurologic Physical Therapy" "15570576" "15570584" 86
"16759" "Musculoskeletal Care" "14782189" "15570681" 65
"16760" "Food Biophysics" "15571858" "15571866" 78
"16761" "International Journal of Mental Health and Addiction" "15571874" "15571882" 55
"16762" "Journal of NeuroImmune Pharmacology" "15571890" "15571904" 85
"16763" "Journal of Immigrant and Minority Health" "15571912" "15571920" 62
"16764" "Journal of Superconductivity and Novel Magnetism" "15571939" "15571947" 37
"16765" "Journal of Maritime Archaeology" "15572285" "15572293" 73
"16766" "Sport Marketing Quarterly" "10616934" "15572528" 18
"16767" "Theory of Computing" "" "15572862" 74
"16768" "Astropolitics" "14777622" "15572943" 50
"16769" "Liturgy" "0458063X" "15573001" 27
"16770" "Diplomacy and Statecraft" "09592296" "1557301X" 80
"16771" "Education Finance and Policy" "15573060" "15573079" 92
"16772" "Teaching and Learning in Nursing" "15572013" "15573087" 53
"16773" "International Journal of Cognitive Informatics and Natural Intelligence" "15573958" "15573966" 29
"16774" "American Journal of Animal and Veterinary Sciences" "15574555" "15574563" 33
"16775" "International Journal of Biostatistics" "2194573X" "15574679" 58
"16776" "Journal of Cellular Automata" "15575969" "15575977" 38
"16777" "Journal of Hospitality and Tourism Research" "10963480" "15577554" 98
"16778" "Journal of Bionanoscience" "15577910" "15577929" 31
"16779" "Election Law Journal: Rules, Politics, and Policy" "15331296" "15578062" 65
"16780" "Annual Reports in Medicinal Chemistry" "00657743" "15578437" 23
"16781" "Advances in Inorganic Chemistry" "08988838" "15578917" 39
"16782" "Current Topics in Developmental Biology" "00702153" "15578933" 76
"16783" "Chinese Studies in History" "00094633" "15580407" 21
"16784" "Russian Studies in Philosophy" "10611967" "15580431" 30
"16785" "International Studies of Management and Organization" "00208825" "15580911" 66
"16786" "Management Research" "15365433" "15580946" 45
"16787" "Chinese Economy" "10971475" "15580954" 53
"16788" "International Journal of Political Economy" "08911916" "15580970" 51
"16789" "Contemporary Chinese Thought" "10971467" "15580997" 18
"16790" "Journal of Cardiovascular Medicine" "15582027" "15582035" 40
"16791" "Journal of School Choice" "15582159" "15582167" 40
"16792" "History in Africa" "03615413" "15582744" 75
"16793" "Polymer Reviews" "15583724" "15583716" 98
"16794" "IEEE Transactions on Circuits and Systems II: Express Briefs" "15497747" "15583791" 83
"16795" "Veterinary Clinics of North America. Equine Practice" "07490739" "15584224" 64
"16796" "Focaal" "09201297" "15585263" 75
"16797" "French Politics, Culture & Society" "15376370" "15585271" 69
"16798" "Nature and Culture" "15586073" "15585468" 46
"16799" "American Journal of Biochemistry and Biotechnology" "15533468" "15586332" 18
"16800" "Stem Cell Reviews and Reports" "15508943" "15586804" 80
"16801" "Perceptual and Motor Skills" "00315125" "1558688x" 24
"16802" "Psychological Reports" "00332941" "1558691x" 46
"16803" "Journal of the American Board of Family Medicine" "15572625" "15587118" 84
"16804" "Michigan Quarterly Review" "00262420" "15587266" 7
"16805" "Journal of Asia Business Studies" "15592243" "15587894" 87
"16806" "Journal of Emerging Technologies in Accounting" "15541908" "15587940" 52
"16807" "Accounting Horizons" "08887993" "15587975" 83
"16808" "Issues in Accounting Education" "07393172" "15587983" 41
"16809" "Behavioral Research in Accounting" "10504753" "15588009" 59
"16810" "Journal of the American Taxation Association" "01989073" "15588017" 61
"16811" "Journal of International Accounting Research" "15426297" "15588025" 58
"16812" "Journal of Management Accounting Research" "10492127" "15588033" 74
"16813" "Current Hematologic Malignancy Reports" "15588211" "1558822X" 71
"16814" "Journal of Policy Practice" "15588742" "15588750" 48
"16815" "Classical World" "00098418" "15589234" 41
"16816" "Journal of the Medical Library Association : JMLA" "15365050" "15589439" 78
"16817" "Forum for Health Economics and Policy" "21946191" "15589544" 56
"16818" "Arizona Quarterly" "00041610" "15589595" 77
"16819" "Endocrine" "1355008X" "15590100" 63
"16820" "Clinical Proteomics" "15426416" "15590275" 73
"16821" "Journal of Exposure Science and Environmental Epidemiology" "15590631" "1559064X" 89
"16822" "Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery" "15569845" "15590879" 41
"16823" "Italian Culture" "01614622" "15590909" 8
"16824" "ACM Transactions on the Web" "15591131" "1559114X" 71
"16825" "Epigenetics" "15592294" "15592308" 83
"16826" "English Literature in Transition, 1880-1920" "00138339" "15592715" 67
"16827" "Asia Policy" "15590968" "15592960" 92
"16828" "Emergency medicine practice" "15241971" "15593908" 57
"16829" "Simulation in Healthcare" "15592332" "1559713X" 85
"16830" "Review of International Organizations" "15597431" "1559744X" 93
"16831" "American Journal of Lifestyle Medicine" "15598276" "15598284" 27
"16832" "Journal of Statistical Theory and Practice" "15598608" "15598616" 25
"16833" "Progress in Electromagnetics Research" "10704698" "15598985" 78
"16834" "International Journal of Artificial Intelligence in Education" "15604292" "15604306" 96
"16835" "Turczaninowia" "15607259" "15607267" 26
"16836" "Eurosurveillance" "1025496X" "15607917" 97
"16837" "Revista Cubana de Educacion Medica Superior" "08642141" "15612902" 15
"16838" "Revista Cubana de Enfermeria" "08640319" "15612961" 12
"16839" "Revista Cubana de Estomatologia" "00347507" "1561297X" 9
"16840" "Revista Cubana de Farmacia" "00347515" "15612988" 10
"16841" "Revista Cubana de Hematologia, Inmunologia y Hemoterapia" "08640289" "15612996" 9
"16842" "Revista Cubana de Investigaciones Biomedicas" "08640300" "15613011" 10
"16843" "Revista Cubana de Medicina General Integral" "08642125" "15613038" 12
"16844" "Revista Cubana de Medicina Militar" "01386557" "15613046" 12
"16845" "Revista Cubana de Medicina Tropical" "03750760" "15613054" 9
"16846" "Revista Cubana de Pediatria" "00347531" "15613119" 19
"16847" "Acoustical Physics" "10637710" "15626865" 48
"16848" "Astronomy Letters" "10637737" "15626873" 32
"16849" "Astronomy Reports" "10637729" "15626881" 36
"16850" "Crystallography Reports" "10637745" "1562689X" 38
"16851" "Doklady Physics" "10283358" "15626903" 36
"16852" "Optics and Spectroscopy (English translation of Optika i Spektroskopiya)" "0030400X" "15626911" 28
"16853" "Physics of Atomic Nuclei" "10637788" "1562692X" 26
"16854" "Wiener Medizinische Wochenschrift" "00435341" "1563258X" 75
"16855" "Active and Passive Electronic Components" "08827516" "15635031" 27
"16856" "Journal of Difference Equations and Applications" "10236198" "15635120" 76
"16857" "Mathematical Problems in Engineering" "1024123X" "15635147" 76
"16858" "VLSI Design" "1065514X" "15635171" 34
"16859" "Journal of Adhesion" "00218464" "1563518X" 71
"16860" "Chemical Engineering Communications" "00986445" "15635201" 61
"16861" "Combustion Science and Technology" "00102202" "1563521X" 65
"16862" "Ferroelectrics, Letters Section" "07315171" "15635228" 24
"16863" "Historical Biology" "08912963" "15635236" 68
"16864" "Journal of Neurogenetics" "01677063" "15635260" 27
"16865" "International Journal of Neuroscience" "00207454" "15635279" 34
"16866" "Phosphorus, Sulfur and Silicon and the Related Elements" "10426507" "15635325" 22
"16867" "Polycyclic Aromatic Compounds" "10406638" "15635333" 69
"16868" "International Journal of Polymer Analysis and Characterization" "1023666X" "15635341" 63
"16869" "International Journal of Polymeric Materials and Polymeric Biomaterials" "00914037" "1563535X" 75
"16870" "Bulletin of the World Health Organization" "00429686" "15640604" 89
"16871" "Asia-Pacific Population Journal" "0259238X" "15644278" 39
"16872" "Finance and Development" "01451707" "15645142" 21
"16873" "World Bank Research Observer" "02573032" "15646971" 91
"16874" "World Bank Economic Review" "02586770" "1564698X" 77
"16875" "International Labour Review" "00207780" "1564913X" 48
"16876" "Theoretical Inquiries in Law" "15651509" "15653404" 55
"16877" "International Shipbuilding Progress" "0020868X" "15662829" 33
"16878" "FEMS Yeast Research" "15671356" "15671364" 67
"16879" "PalArch's Journal of Archaeology of Egypt/ Egyptology" "" "1567214X" 5
"16880" "Foundations and Trends in Communications and Information Theory" "15672190" "15672328" 99
"16881" "Journal of Poetry Therapy" "08893675" "15672344" 27
"16882" "Foundations and Trends in Finance" "15672395" "15672409" 73
"16883" "Critical Horizons" "14409917" "15685160" 81
"16884" "KronoScope: Journal for the Study of Time" "1567715X" "15685241" 18
"16885" "Mnemosyne" "00267074" "1568525X" 67
"16886" "NAN NU" "13876805" "15685268" 98
"16887" "Phronesis" "00318868" "15685284" 85
"16888" "Society and Animals" "10631119" "15685306" 55
"16889" "Asian Journal of Social Science" "15684849" "15685314" 49
"16890" "T'oung Pao" "00825433" "15685322" 74
"16891" "Vetus Testamentum" "00424935" "15685330" 71
"16892" "Vivarium" "00427543" "15685349" 45
"16893" "Worldviews: Environment, Culture, Religion" "13635247" "15685357" 62
"16894" "Novum Testamentum" "00481009" "15685365" 83
"16895" "Amphibia - Reptilia" "01735373" "15685381" 61
"16896" "Behaviour" "00057959" "1568539X" 73
"16897" "Nematology" "13885545" "15685411" 61
"16898" "Advanced Composite Materials" "09243046" "15685519" 60
"16899" "Advanced Powder Technology" "09218831" "15685527" 86
"16900" "Composite Interfaces" "09276440" "15685543" 67
"16901" "Designed Monomers and Polymers" "1385772X" "15685551" 58
"16902" "Inflammopharmacology" "09254692" "15685608" 83
"16903" "Journal of Adhesion Science and Technology" "01694243" "15685616" 51
"16904" "Journal of Biomaterials Science, Polymer Edition" "09205063" "15685624" 55
"16905" "Research on Chemical Intermediates" "09226168" "15685675" 59
"16906" "Brill's Tibetan Studies Library" "" "15686183" 6
"16907" "Gerontechnology" "15691101" "1569111X" 21
"16908" "Comparative Sociology" "15691322" "15691330" 40
"16909" "Perspectives on Global Development and Technology" "15691500" "15691497" 16
"16910" "Journal of Design Research" "17483050" "15691551" 34
"16911" "Journal of Phenomenological Psychology" "00472662" "15691624" 28
"16912" "Research in Phenomenology" "00855553" "15691640" 49
"16913" "Hawwa" "15692078" "15692086" 32
"16914" "Discrete Mathematics and Applications" "09249265" "15693929" 22
"16915" "Journal of Electromagnetic Waves and Applications" "09205071" "15693937" 54
"16916" "Journal of Inverse and Ill-Posed Problems" "09280219" "15693945" 42
"16917" "Journal of Numerical Mathematics" "15702820" "15693953" 83
"16918" "Photonics and Nanostructures - Fundamentals and Applications" "15694410" "15694429" 68
"16919" "Dao" "15403009" "15697274" 66
"16920" "Journal of Reformed Theology" "18725163" "15697312" 48
"16921" "International Journal of Public Theology" "18725171" "15697320" 57
"16922" "Annals of Oncology" "09237534" "15698041" 98
"16923" "Interactive Cardiovascular and Thoracic Surgery" "15699293" "15699285" 62
"16924" "Diachronica" "01764225" "15699714" 87
"16925" "Gesture" "15681475" "15699773" 92
"16926" "Information Design Journal" "01425471" "1569979X" 24
"16927" "International Journal of Corpus Linguistics" "13846655" "15699811" 89
"16928" "Journal of Asian Pacific Communication" "09576851" "15699838" 33
"16929" "Journal of Historical Pragmatics" "15665852" "15699854" 76
"16930" "Journal of Language and Politics" "15692159" "15699862" 96
"16931" "Languages in Contrast" "13876759" "15699897" 59
"16932" "Pragmatics and Cognition" "09290907" "15699943" 77
"16933" "Terminology" "09299971" "15699994" 68
"16934" "Aries" "15679896" "15700593" 73
"16935" "Die Welt des Islams" "00432539" "15700607" 94
"16936" "Journal of Arabic Literature" "00852376" "1570064X" 67
"16937" "Journal of Early Modern History" "13853783" "15700658" 83
"16938" "Quaerendo" "00149527" "15700690" 27
"16939" "Review of Rabbinic Judaism" "15684857" "15700704" 39
"16940" "Vigiliae Christianae" "00426032" "15700720" 45
"16941" "Zeitschrift fur Religions- und Geistesgeschichte" "00443441" "15700739" 17
"16942" "Pneuma" "02720965" "15700747" 83
"16943" "Compositio Mathematica" "0010437X" "15705846" 87
"16944" "Energy Efficiency" "1570646X" "15706478" 73
"16945" "Animal Biology" "15707555" "15707563" 51
"16946" "Journal of Empirical Theology" "09222936" "15709256" 95
"16947" "Law and Practice of International Courts and Tribunals" "15691853" "15718034" 32
"16948" "Journal of the History of International Law" "1388199X" "15718050" 81
"16949" "International Negotiation" "1382340X" "15718069" 52
"16950" "International Journal of Marine and Coastal Law" "09273522" "15718085" 66
"16951" "European Journal of Health Law" "09290273" "15718093" 41
"16952" "Nordic Journal of International Law" "09027351" "15718107" 41
"16953" "International Journal of Minority and Group Rights" "13854879" "15718115" 38
"16954" "Asia-Pacific Journal on Human Rights and the Law" "13881906" "15718158" 9
"16955" "European Journal of Migration and Law" "1388364X" "15718166" 51
"16956" "European Journal of Crime, Criminal Law and Criminal Justice" "09289569" "15718174" 43
"16957" "International Journal of Children's Rights" "09275568" "15718182" 52
"16958" "Legal History Review" "00407585" "15718190" 35
"16959" "Negotiation Journal" "07484526" "15719979" 36
"16960" "American Journal of Gastroenterology" "00029270" "15720241" 91
"16961" "Interaction Studies" "15720373" "15720381" 85
"16962" "Injury" "00201383" "15723461" 90
"16963" "International Organizations Law Review" "15723739" "15723747" 28
"16964" "Journal of Critical Realism" "14767430" "15725138" 78
"16965" "Exchange" "01662740" "1572543X" 57
"16966" "Journal of Comparative Policy Analysis: Research and Practice" "13876988" "15725448" 82
"16967" "Design Automation for Embedded Systems" "09295585" "15728080" 20
"16968" "Fire Technology" "00152684" "15728099" 69
"16969" "Formal Methods in System Design" "09259856" "15728102" 65
"16970" "International Journal of Speech Technology" "13812416" "15728110" 87
"16971" "Journal of Intelligent Manufacturing" "09565515" "15728145" 89
"16972" "Mobile Networks and Applications" "1383469X" "15728153" 74
"16973" "Optical and Quantum Electronics" "03068919" "1572817X" 56
"16974" "Wireless Networks" "10220038" "15728196" 74
"16975" "Wireless Personal Communications" "09296212" "1572834X" 52
"16976" "Acta Biotheoretica" "00015342" "15728358" 85
"16977" "Agriculture and Human Values" "0889048X" "15728366" 88
"16978" "Artificial Intelligence and Law" "09248463" "15728382" 93
"16979" "Biology and Philosophy" "01693867" "15728404" 95
"16980" "HEC Forum" "09562737" "15728498" 65
"16981" "Human Studies" "01638548" "1572851X" 91
"16982" "Journal of East Asian Linguistics" "09258558" "15728560" 70
"16983" "Medicine, Health Care and Philosophy" "13867423" "15728633" 68
"16984" "Minds and Machines" "09246495" "15728641" 91
"16985" "Res Publica" "13564765" "15728692" 69
"16986" "Adsorption" "09295607" "15728757" 69
"16987" "BioMetals" "09660844" "15728773" 86
"16988" "Biomedical Microdevices" "13872176" "15728781" 62
"16989" "Catalysis Letters" "1011372X" "1572879X" 71
"16990" "Catalysis Surveys from Asia" "15711013" "15728803" 76
"16991" "Journal of Applied Electrochemistry" "0021891X" "15728838" 72
"16992" "Journal of Chemical Crystallography" "10741542" "15728854" 28
"16993" "Journal of Cluster Science" "10407278" "15728862" 63
"16994" "Journal of Insect Behavior" "08927553" "15728889" 49
"16995" "Journal of Polymers and the Environment" "15662543" "15728900" 76
"16996" "Journal of Solution Chemistry" "00959782" "15728927" 33
"16997" "Journal of Polymer Research" "10229760" "15728935" 59
"16998" "Journal of Nanoparticle Research" "13880764" "1572896X" 69
"16999" "Plasma Chemistry and Plasma Processing" "02724324" "15728986" 80
"17000" "Structural Chemistry" "10400400" "15729001" 51
"17001" "Transition Metal Chemistry" "03404285" "1572901X" 63
"17002" "Topics in Catalysis" "10225528" "15729028" 70
"17003" "Acta Applicandae Mathematicae" "01678019" "15729036" 53
"17004" "Advances in Computational Mathematics" "10197168" "15729044" 69
"17005" "Annals of Global Analysis and Geometry" "0232704X" "15729060" 55
"17006" "Algebras and Representation Theory" "1386923X" "15729079" 51
"17007" "Applied Categorical Structures" "09272852" "15729095" 26
"17008" "BIT Numerical Mathematics" "00063835" "15729125" 68
"17009" "Czechoslovak Mathematical Journal" "00114642" "15729141" 31
"17010" "Geometriae Dedicata" "00465755" "15729168" 38
"17011" "Journal of Algebraic Combinatorics" "09259899" "15729192" 72
"17012" "Journal of Computational Analysis and Applications" "15211398" "15729206" 21
"17013" "Journal of Theoretical Probability" "08949840" "15729230" 65
"17014" "Lifetime Data Analysis" "13807870" "15729249" 53
"17015" "Order" "01678094" "15729273" 26
"17016" "Positivity" "13851292" "15729281" 67
"17017" "Potential Analysis" "09262601" "1572929X" 64
"17018" "Annals of Operations Research" "02545330" "15729338" 76
"17019" "Constraints" "13837133" "15729354" 91
"17020" "Health Care Management Science" "13869620" "15729389" 75
"17021" "Journal of Heuristics" "13811231" "15729397" 73
"17022" "Health Services and Outcomes Research Methodology" "13873741" "15729400" 62
"17023" "Information Systems Frontiers" "13873326" "15729419" 91
"17024" "Transportation" "00494488" "15729435" 95
"17025" "Queueing Systems" "02570130" "15729443" 45
"17026" "Telecommunication Systems" "10184864" "15729451" 64
"17027" "Astrophysics and Space Science" "0004640X" "1572946X" 48
"17028" "Celestial Mechanics and Dynamical Astronomy" "09232958" "15729478" 60
"17029" "Experimental Astronomy" "09226435" "15729508" 51
"17030" "Foundations of Physics" "00159018" "15729516" 47
"17031" "General Relativity and Gravitation" "00017701" "15729532" 53
"17032" "Hyperfine Interactions" "03043843" "15729540" 36
"17033" "International Journal of Thermophysics" "0195928X" "15729567" 32
"17034" "International Journal of Theoretical Physics" "00207748" "15729575" 72
"17035" "Journal of Fusion Energy" "01640313" "15729591" 46
"17036" "Journal of Statistical Physics" "00224715" "15729613" 68
"17037" "Meccanica" "00256455" "15729648" 75
"17038" "Mathematical Physics Analysis and Geometry" "13850172" "15729656" 80
"17039" "Space Science Reviews" "00386308" "15729672" 93
"17040" "Agroforestry Systems" "01674366" "15729680" 80
"17041" "Antonie van Leeuwenhoek" "00036072" "15729699" 38
"17042" "Experimental and Applied Acarology" "01688162" "15729702" 78
"17043" "Biodiversity and Conservation" "09603115" "15729710" 86
"17044" "Biodegradation" "09239820" "15729729" 76
"17045" "Journal of Insect Conservation" "1366638X" "15729753" 77
"17046" "Landscape Ecology" "09212973" "15729761" 96
"17047" "Molecular Breeding" "13803743" "15729788" 79
"17048" "Wetlands Ecology and Management" "09234861" "15729834" 75
"17049" "European Journal of Population" "01686577" "15729885" 88
"17050" "Geo Journal" "03432521" "15729893" 75
"17051" "Group Decision and Negotiation" "09262644" "15729907" 89
"17052" "Human Ecology" "03007839" "15729915" 86
"17053" "Virus Genes" "09208569" "1572994X" 34
"17054" "Constitutional Political Economy" "10434062" "15729966" 70
"17055" "Computational Economics" "09277099" "15729974" 64
"17056" "De Economist" "0013063X" "15729982" 21
"17057" "European Journal of Law and Economics" "09291261" "15729990" 66
"17058" "Arab Law Quarterly" "02680556" "15730255" 23
"17059" "Review of Central and East European Law" "09259880" "15730352" 89
"17060" "Journal of the History of Biology" "00225010" "15730387" 67
"17061" "Journal of Intelligent and Robotic Systems: Theory and Applications" "09210296" "15730409" 82
"17062" "Journal of Paleolimnology" "09212728" "15730417" 73
"17063" "Journal of Productivity Analysis" "0895562X" "15730441" 76
"17064" "Journal of Real Estate Finance and Economics" "08955638" "1573045X" 73
"17065" "Journal of Regulatory Economics" "0922680X" "15730468" 50
"17066" "Journal of Risk and Uncertainty" "08955646" "15730476" 86
"17067" "Journal of Supercomputing" "09208542" "15730484" 79
"17068" "Journal of Value Inquiry" "00225363" "15730492" 60
"17069" "Law and Philosophy" "01675249" "15730522" 85
"17070" "Letters in Mathematical Physics" "03779017" "15730530" 62
"17071" "Machine Learning" "08856125" "15730565" 71
"17072" "Machine Translation" "09226567" "15730573" 75
"17073" "Marine Geophysical Researches" "00253235" "15730581" 47
"17074" "Marketing Letters" "09230645" "1573059X" 80
"17075" "Investigational New Drugs" "01676997" "15730646" 73
"17076" "Journal of Atmospheric Chemistry" "01677764" "15730662" 50
"17077" "Journal of Automated Reasoning" "01687433" "15730670" 80
"17078" "Journal of Biological Physics" "00920606" "15730689" 32
"17079" "Journal of Business Ethics" "01674544" "15730697" 98
"17080" "Journal of Cross-Cultural Gerontology" "01693816" "15730719" 60
"17081" "Journal of Electronic Testing: Theory and Applications (JETTA)" "09238174" "15730727" 43
"17082" "Journal of Financial Services Research" "09208550" "15730735" 77
"17083" "International Journal of Cardiovascular Imaging" "15695794" "15730743" 62
"17084" "Culture, Medicine and Psychiatry" "0165005X" "1573076X" 85
"17085" "Cytotechnology" "09209069" "15730778" 55
"17086" "Earth, Moon and Planets" "01679295" "15730794" 28
"17087" "Educational Studies in Mathematics" "00131954" "15730816" 88
"17088" "Multidimensional Systems and Signal Processing" "09236082" "15730824" 87
"17089" "Mycopathologia" "0301486X" "15730832" 83
"17090" "Natural Hazards" "0921030X" "15730840" 79
"17091" "Natural Language and Linguistic Theory" "0167806X" "15730859" 80
"17092" "Origins of Life and Evolution of Biospheres" "01696149" "15730875" 56
"17093" "Policy Sciences" "00322687" "15730891" 93
"17094" "Reading and Writing" "09224777" "15730905" 95
"17095" "Small Business Economics" "0921898X" "15730913" 95
"17096" "Social Indicators Research" "03038300" "15730921" 86
"17097" "Studies in East European Thought" "09259392" "15730948" 37
"17098" "Surveys in Geophysics" "01693298" "15730956" 97
"17099" "World Journal of Microbiology and Biotechnology" "09593993" "15730972" 69
"17100" "Folia Zoologica" "01397893" "15731189" 35
"17101" "Theoretical Medicine and Bioethics" "13867415" "15731200" 43
"17102" "Open Systems and Information Dynamics" "12301612" "15731324" 57
"17103" "Reliable Computing" "13853139" "15731340" 25
"17104" "Software Quality Journal" "09639314" "15731367" 74
"17105" "Statistics and Computing" "09603174" "15731375" 90
"17106" "Real-Time Systems" "09226443" "15731383" 77
"17107" "User Modeling and User-Adapted Interaction" "09241868" "15731391" 99
"17108" "World Wide Web" "1386145X" "15731413" 68
"17109" "Aquaculture International" "09676120" "1573143X" 70
"17110" "Biological Invasions" "13873547" "15731464" 86
"17111" "Boundary-Layer Meteorology" "00068314" "15731472" 71
"17112" "Climatic Change" "01650009" "15731480" 88
